State,Year,HLp,Tscr1r,NPr,LTFr,CLEARr,Dr,EIr,EI6r,PerTscr,PerTNscr,PerTscr1,PerPas1,PerNotPas1,PerPIS,PerNPIS,PerReferToOPS,PerReDirDiag,PerOPS,PerNPOS,PerLTF,PerD,PerDHL,PerHL3,PerEI,PerEI6,Tscr1,PIS,NPIS,ReferToOPS,OPS,POS,NPOS,CLEAR,EI,EI6,Birth,Tscr,TNscr,NoInPaOut,NoInReOut,PaInPaOut,PaInReOut,PaInNoOut,ReInNoOut,ReInPaOut,ReInReOut,ReInStDia,TotPas,TotNotPas,TotPas1,TotNotPas1,LTF,TDia,TDia3,HL,NHL,HL3,NHL3,ToEnrEIPC,ToEnrEINPC,ToEnrEI6PC,ToEnrEI6NPC
Alabama,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,2007,1.5846290977518074,964.0487273447559,28.028127166485092,20.99633554521145,2.6740616024561747,4.35773001881747,0.49519659304743985,0.09903931860948796,92.49725174056431,NA,89.17185782337853,97.56523525785906,2.4347647421409495,NA,NA,NA,NA,NA,NA,7.491166077738516,15.547703180212014,36.36363636363637,12.5,31.25,6.25,9734,NA,NA,NA,NA,NA,NA,27,5,1,10916,10097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9814,283,9497,237,212,44,5,16,28,2,3,5,0,1,0
Arizona,2007,1.4364763841259243,980.4052481968175,14.314183686888613,11.168098085035355,0.20232061748252456,2.9437649843707323,1.3960122606294194,1.0925313344056327,94.58169084159364,NA,92.72838608442726,98.8278509224483,1.172149077551694,NA,NA,NA,NA,NA,NA,7.8021201413427566,20.565371024734983,48.797250859106526,58.45070422535211,97.1830985915493,76.05633802816901,96916,NA,NA,NA,NA,NA,NA,20,138,108,104516,98853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97438,1415,95780,1136,1104,291,139,142,149,83,56,83,55,60,48
Arkansas,2007,0.8960802887938759,974.0648762129088,26.75439719398858,15.310171791392508,7.194244604316547,4.249980798279526,0.4608412913797076,0.25602293965539313,97.21973317403425,NA,94.69832735961768,97.45571150712296,2.5442884928770435,NA,NA,NA,NA,NA,NA,5.722488038277512,15.885167464114833,21.084337349397593,28.57142857142857,51.42857142857142,28.57142857142857,38046,NA,NA,NA,NA,NA,NA,281,18,10,40176,39059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38014,1045,37078,968,598,166,98,35,131,10,88,18,0,10,0
California,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,2007,1.5434304170120332,986.7093491868409,2.45805584931546,0.1572012461771515,0,2.3008546031383084,1.186154857518507,1.0575356561008373,98.23807718766233,NA,96.93242920720493,99.79288569607786,0.20711430392213662,NA,NA,NA,NA,NA,NA,0.6395348837209303,93.6046511627907,67.08074534161491,80.55555555555556,76.85185185185185,68.51851851851852,69044,NA,NA,NA,NA,NA,NA,0,83,74,71229,69974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69802,172,68901,143,11,161,140,108,53,87,53,53,30,44,30
Connecticut,2007,1.575555025065648,7.471950346144665,8.307471950346144,1.121986154213416,0.286464550011936,6.8990212461207925,1.241346383385056,0.95488183337312,99.51300629528448,NA,0.7435562418339471,0,100,NA,NA,NA,NA,NA,NA,1.3505747126436782,83.04597701149426,22.837370242214533,57.57575757575758,78.78787878787878,60.60606060606061,313,NA,NA,NA,NA,NA,NA,12,52,40,42095,41890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41542,348,0,313,47,289,222,66,223,38,184,52,0,40,0
Delaware,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
District of Columbia,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida,2007,0.789351560704171,875.373532434976,28.49038682563571,5.061391600778943,4.449860996057579,18.97913422879919,0.4814177100997966,0.3166080435791455,96.4239712278354,NA,84.40699230511876,98.19059226889424,1.8094077311057604,NA,NA,NA,NA,NA,NA,1.7765261074745013,66.61592327599331,4.159049360146253,51.098901098901095,60.98901098901099,40.10989010989011,201834,NA,NA,NA,NA,NA,NA,1026,111,73,239120,230569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224000,6569,198182,3652,1167,4376,3745,182,4194,93,3652,111,0,73,0
