State,Year,HLp,Tscr1r,NPr,LTFdiar,Dr,TDia3r,EIr,EI6r,PerTscr,PerTNscr,PerTscr1,PerPas1,PerNotPas1,PerPIS,PerNPIS,PerReferToOPS,PerReferStDia,PerOPS,PerNPOS,PerLTFscr,PerD,PerDHL,PerHL3,PerTDia3,PerLTFdia,PerEI,PerEI6,PerLTFei,Tscr1,PIS,NPIS,ReferToOPS,OPS,POS,NPOS,EI,EI6,Birth,Tscr,TNscr,NoInPaOut,NoInReOut,PaInPaOut,PaInReOut,PaInNoOut,ReInPaOut,ReInReOut,ReInNoOut,ReInStDia,TotPas,TotNotPas,TotPas1,TotNotPas1,TotNotPasNoscr,NoscrStDia,LTFscr,TDia,TDia3,HL,NHL,HL3,NHL3,LTFdia,ToEnrEIPC,ToEnrEINPC,ToEnrEI6PC,ToEnrEI6NPC,LTFei
Alabama,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alaska,2007,1.5846290977518074,964.0487273447559,28.028127166485092,20.99633554521145,4.35773001881747,0.49519659304743985,0.49519659304743985,0.09903931860948796,92.49725174056431,NA,89.17185782337853,97.56523525785906,2.4347647421409495,NA,NA,NA,NA,NA,NA,NA,15.547703180212014,36.36363636363637,12.5,1.76678445229682,74.91166077738515,31.25,6.25,1325,9734,NA,NA,NA,NA,NA,NA,5,1,10916,10097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9814,283,9497,237,NA,NA,NA,44,5,16,28,2,3,212,5,0,1,0,11
American Samoa,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,2007,1.4364763841259243,980.4052481968175,14.314183686888613,11.168098085035355,2.9437649843707323,1.4061282915035456,1.3960122606294194,1.0925313344056327,94.58169084159364,NA,92.72838608442726,98.8278509224483,1.172149077551694,NA,NA,NA,NA,NA,NA,NA,20.565371024734983,48.797250859106526,58.45070422535211,9.823321554770319,78.02120141342756,97.1830985915493,76.05633802816901,777.4647887323944,96916,NA,NA,NA,NA,NA,NA,138,108,104516,98853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97438,1415,95780,1136,NA,NA,NA,291,139,142,149,83,56,1104,83,55,60,48,0
Arkansas,2007,0.8960802887938759,974.0648762129088,26.75439719398858,15.310171791392508,4.249980798279526,2.5090248086228524,0.4608412913797076,0.25602293965539313,97.21973317403425,NA,94.69832735961768,97.45571150712296,2.5442884928770435,NA,NA,NA,NA,NA,NA,NA,15.885167464114833,21.084337349397593,28.57142857142857,9.37799043062201,57.224880382775126,51.42857142857142,28.57142857142857,1708.5714285714284,38046,NA,NA,NA,NA,NA,NA,18,10,40176,39059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38014,1045,37078,968,NA,NA,NA,166,98,35,131,10,88,598,18,0,10,0,17
California,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorado,2007,1.5434304170120332,986.7093491868409,2.45805584931546,0.1572012461771515,2.3008546031383084,2.0007431331637466,1.186154857518507,1.0575356561008373,98.23807718766233,NA,96.93242920720493,99.79288569607786,0.20711430392213662,NA,NA,NA,NA,NA,NA,NA,93.6046511627907,67.08074534161491,80.55555555555556,81.3953488372093,6.395348837209303,76.85185185185185,68.51851851851852,10.185185185185185,69044,NA,NA,NA,NA,NA,NA,83,74,71229,69974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69802,172,68901,143,NA,NA,NA,161,140,108,53,87,53,11,53,30,44,30,25
Commonwealth of the Northern Mariana Islands,2007,2.204261572373255,988.9786921381337,40.41146216017634,23.51212343864805,2.9390154298310063,0.7347538574577516,2.204261572373255,1.4695077149155031,98.62318840579711,NA,97.53623188405797,96.2109955423477,3.789004457652303,NA,NA,NA,NA,NA,NA,NA,7.2727272727272725,75,0,1.8181818181818181,58.18181818181818,100,66.66666666666666,1066.6666666666665,1346,NA,NA,NA,NA,NA,NA,3,2,1380,1361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1306,55,1295,51,NA,NA,NA,4,1,3,1,0,1,32,3,0,2,0,0
Connecticut,2007,1.575555025065648,7.471950346144665,8.307471950346144,1.121986154213416,6.8990212461207925,5.299594175220816,1.241346383385056,0.95488183337312,99.51300629528448,NA,0.7435562418339471,0,100,NA,NA,NA,NA,NA,NA,NA,83.04597701149426,22.837370242214533,57.57575757575758,63.793103448275865,13.505747126436782,78.78787878787878,60.60606060606061,71.21212121212122,313,NA,NA,NA,NA,NA,NA,52,40,42095,41890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41542,348,0,313,NA,NA,NA,289,222,66,223,38,184,47,52,0,40,0,10
Delaware,2007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
