State,Year,Unknw,ParFamContUnr,UnatoCont,NoInPaOut,NoInReOut,PaInNoOut,PaInPaOut,PaInReOut,ReInNoOut,ReInPaOut,ReInReOut,ReInStDia,Tdiag,ToEnrEINPC,ToEnrEI6NPC,ToEnrEIPC,ToEnrEI6PC,HL3,TotNoPas,TNscr,Birth,TotPas,Tscr,HL,NHL,PerD,PerDHL,PerEI,PerEI6,PerHL3,HLp,LTF,PerLTF,NPIS,PerNPIS,PerNPOS,PerTNscr,PerOPS,Dr,EIr,LTFr,NPr,CLEARr,PerReDirDiag,ReferOP,PerReferOP,EI,EI6,NPOS,OPS,POS,PerTscr
National Average,2014,310.64285714285717,205.85714285714286,52.785714285714285,NA,NA,NA,NA,NA,321.7142857142857,NA,NA,NA,733.8979591836735,3.142857142857143,0.9591836734693877,61,52.97959183673469,75.6938775510204,1183.408163265306,1666.2941176470588,77582.05882352941,NA,75912.58823529411,121.95918367346938,611.9387755102041,62.01562419162917,16.618002836406106,52.59370816599732,44.22690763052209,62.06492637215529,1.6065739096584615,569.2857142857143,48.10560987807613,NA,NA,NA,2.1477828030282926,NA,9.667671413190751,0.8449567935168246,7.499226775422153,15.589089909532328,-1.5778082790805776,NA,NA,NA,64.14285714285714,53.93877551020408,NA,NA,NA,97.84812286042481
Alabama,2014,67,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,0,0,20,11,20,165,2082,57802,NA,55720,42,36,47.27272727272727,53.84615384615385,47.61904761904761,26.190476190476193,47.61904761904761,0.7537688442211055,74,44.84848484848485,NA,NA,NA,3.6019514895678353,NA,1.399856424982053,0.35893754486719315,1.3280689160086143,2.9612347451543433,0.23330940416367552,NA,NA,NA,20,11,NA,NA,NA,96.39804851043216
Alaska,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,0,NA,3,10,126,396,11256,NA,10860,19,51,55.55555555555556,27.142857142857142,NA,15.789473684210526,52.63157894736842,1.7495395948434622,NA,NA,NA,NA,NA,3.518123667377399,NA,6.445672191528545,NA,NA,11.602209944751381,NA,NA,NA,NA,NA,3,NA,NA,NA,96.48187633262259
Arizona,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,483,NA,0,NA,54,128,877,920,87822,NA,86902,165,318,55.074116305587225,34.161490683229815,NA,32.72727272727273,77.57575757575758,1.8986904789302892,NA,NA,NA,NA,NA,1.0475735009450935,NA,5.557984856505029,NA,NA,10.091827575890083,NA,NA,NA,NA,NA,54,NA,NA,NA,98.95242649905491
Arkansas,2014,46,339,4,NA,NA,NA,NA,NA,430,NA,NA,NA,94,42,24,5,4,21,538,378,36889,NA,36511,49,45,17.472118959107807,52.12765957446809,95.91836734693877,57.14285714285714,42.857142857142854,1.3420612965955465,389,72.30483271375465,NA,NA,NA,1.0246957087478652,NA,2.5745665689792117,1.2872832844896058,10.654323354605461,14.735285256498042,1.5063953329133686,NA,NA,NA,47,28,NA,NA,NA,98.97530429125213
California,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1993,NA,0,NA,644,668,2803,2339,486759,NA,484420,995,998,71.10239029611131,49.92473657802308,NA,64.72361809045226,67.1356783919598,2.0540027249081376,NA,NA,NA,NA,NA,0.4805252702055843,NA,4.114198422856199,NA,NA,5.786301143635688,NA,NA,NA,NA,NA,644,NA,NA,NA,99.51947472979441
Colorado,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212,NA,0,NA,45,82,754,1328,66396,NA,65068,140,72,28.116710875331563,66.0377358490566,NA,32.142857142857146,58.57142857142858,2.1515952541956107,NA,NA,NA,NA,NA,2.0001204891860955,NA,3.2581299563533537,NA,NA,11.58787729759636,NA,NA,NA,NA,NA,45,NA,NA,NA,97.9998795108139
Connecticut,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,379,NA,0,NA,35,51,448,331,37661,NA,37330,73,306,84.59821428571429,19.261213720316622,NA,47.94520547945205,69.86301369863014,1.955531743905706,NA,NA,NA,NA,NA,0.8788932848304611,NA,10.152692204661129,NA,NA,12.001071524243235,NA,NA,NA,NA,NA,35,NA,NA,NA,99.12110671516953
Delaware,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,0,NA,9,8,138,56,11488,NA,11432,14,35,35.507246376811594,28.57142857142857,NA,64.28571428571429,57.14285714285714,1.224632610216935,NA,NA,NA,NA,NA,0.48746518105849584,NA,4.286214135759272,NA,NA,12.071378586424073,NA,NA,NA,NA,NA,9,NA,NA,NA,99.5125348189415
District of Columbia,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,399,14500,NA,13939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7517241379310344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96.13103448275862
Florida,2014,0,707,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,1041,0,0,173,102,100,1994,6828,218796,NA,211968,227,814,52.20661985957874,21.805955811719503,76.2114537444934,44.93392070484582,44.052863436123346,1.0709163647342994,731,36.65997993981946,NA,NA,NA,3.1207151867493006,NA,4.91111865942029,0.8161609299516909,3.4486337560386473,9.407080314009661,1.0473278985507248,NA,NA,NA,173,102,NA,NA,NA,96.8792848132507
Georgia,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,867,NA,12,NA,75,123,1252,2459,128876,NA,126417,199,668,69.24920127795528,22.952710495963093,NA,43.71859296482412,61.80904522613066,1.5741553746727102,NA,NA,NA,NA,NA,1.908035631149322,NA,6.858254823322813,NA,NA,9.90373130196097,NA,NA,NA,NA,NA,87,NA,NA,NA,98.09196436885068
Hawaii,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,NA,0,NA,25,47,203,249,18568,NA,18319,61,106,82.26600985221675,36.52694610778443,NA,40.98360655737705,77.04918032786885,3.329876084939134,NA,NA,NA,NA,NA,1.341016803102111,NA,9.116218134177629,NA,NA,11.08139090561712,NA,NA,NA,NA,NA,25,NA,NA,NA,98.65898319689789
Idaho,2014,2,17,140,NA,NA,NA,NA,NA,140,NA,NA,NA,328,0,0,30,26,35,509,219,22260,NA,22041,42,286,64.44007858546169,12.804878048780488,71.42857142857143,61.904761904761905,83.33333333333334,1.905539676058255,159,31.237721021611005,NA,NA,NA,0.9838274932614556,NA,14.88135747016923,1.3610997686130393,7.213828773649109,23.093326074134566,0.9981398303162289,NA,NA,NA,30,26,NA,NA,NA,99.01617250673854
Illinois,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,431,NA,0,NA,117,125,1520,1283,151246,NA,149963,248,183,28.35526315789474,57.540603248259856,NA,47.17741935483871,50.403225806451616,1.6537412561765237,NA,NA,NA,NA,NA,0.8482868968435529,NA,2.874042263758394,NA,NA,10.135833505598049,NA,NA,NA,NA,NA,117,NA,NA,NA,99.15171310315645
Indiana,2014,37,219,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,1791,0,0,90,44,96,2287,2419,84907,NA,82488,165,1626,78.31219938784434,9.212730318257957,54.54545454545454,26.666666666666668,58.18181818181818,2.0002909514111145,320,13.9921294271972,NA,NA,NA,2.848999493563546,NA,21.712249054407916,1.0910677916787896,3.879352148191252,27.725244884104356,2.133643681505189,NA,NA,NA,90,44,NA,NA,NA,97.15100050643646
Iowa,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,NA,0,NA,33,52,579,536,39465,NA,38929,67,255,55.613126079447326,20.80745341614907,NA,49.25373134328358,77.61194029850746,1.7210819697397828,NA,NA,NA,NA,NA,1.3581654630685418,NA,8.271468570988208,NA,NA,14.873230753422899,NA,NA,NA,NA,NA,33,NA,NA,NA,98.64183453693146
Kansas,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504,NA,0,NA,45,47,606,545,40154,NA,39609,70,434,83.16831683168317,13.88888888888889,NA,64.28571428571429,67.14285714285714,1.7672751142417127,NA,NA,NA,NA,NA,1.3572744932011755,NA,12.724380822540331,NA,NA,15.29955313186397,NA,NA,NA,NA,NA,45,NA,NA,NA,98.64272550679883
Kentucky,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1681,NA,3,NA,34,45,1969,309,53822,NA,53513,84,1597,85.37328593194515,4.997025580011898,NA,44.047619047619044,53.57142857142857,1.5697120325902119,NA,NA,NA,NA,NA,0.574114674296756,NA,31.41292769981126,NA,NA,36.794797525834845,NA,NA,NA,NA,NA,37,NA,NA,NA,99.42588532570325
Louisiana,2014,527,509,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2393,2,2,34,18,32,3518,1296,63724,NA,62428,58,2335,68.02160318362706,2.4237358963643962,62.06896551724138,34.48275862068966,55.172413793103445,0.9290702889728968,1036,29.448550312677657,NA,NA,NA,2.033770635867177,NA,38.332158646761066,0.5766643172935222,16.595117575446917,56.35291856218363,1.425642339975652,NA,NA,NA,36,20,NA,NA,NA,97.96622936413281
Maine,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,NA,0,NA,7,15,220,256,12530,NA,12274,25,139,74.54545454545455,15.24390243902439,NA,28.000000000000004,60,2.036825810656673,NA,NA,NA,NA,NA,2.043096568236233,NA,13.361577317907772,NA,NA,17.92406713377872,NA,NA,NA,NA,NA,7,NA,NA,NA,97.95690343176376
